user	item	rating
1	6264	7.000000
1	4350	7.000000
1	6252	5.000000
1	202	9.000000
1	6266	6.000000
1	4810	5.000000
1	6251	9.000000
1	160	9.000000
1	161	8.000000
1	631	10.000000
1	6244	7.000000
1	6260	8.000000
1	6229	10.000000
1	2072	9.000000
1	6254	8.000000
1	1514	9.000000
1	2566	9.000000
1	1714	9.000000
1	1893	9.000000
1	2955	9.000000
1	2565	9.000000
1	2864	8.000000
1	5988	6.000000
1	164	7.000000
1	1119	9.000000
1	167	8.000000
1	6265	8.000000
1	1440	9.000000
1	1427	9.000000
1	5404	8.000000
1	259	7.000000
1	4156	8.000000
2	419	9.000000
2	415	10.000000
2	2834	9.000000
2	228	10.000000
2	107	10.000000
2	440	9.000000
2	44	10.000000
2	455	10.000000
2	6302	10.000000
2	1208	9.000000
2	412	10.000000
2	438	10.000000
2	433	10.000000
2	432	9.000000
2	6301	9.000000
2	407	10.000000
2	416	10.000000
2	437	8.000000
2	414	9.000000
2	424	10.000000
2	408	9.000000
2	5096	9.000000
2	428	10.000000
2	429	10.000000
2	418	8.000000
2	427	8.000000
2	410	7.000000
2	425	9.000000
2	417	10.000000
2	5691	10.000000
2	1067	9.000000
2	1564	7.000000
2	1560	10.000000
2	411	9.000000
2	439	9.000000
2	423	10.000000
2	1159	10.000000
2	616	8.000000
2	430	9.000000
5	2957	10.000000
5	6318	10.000000
5	6327	5.000000
5	716	5.000000
5	645	7.000000
5	648	10.000000
5	407	10.000000
5	651	10.000000
5	7200	10.000000
5	376	10.000000
5	11701	9.000000
5	976	10.000000
5	3762	9.000000
5	6326	9.000000
5	6320	9.000000
5	519	6.000000
5	1419	6.000000
5	6317	8.000000
5	1291	9.000000
5	6046	10.000000
5	6310	10.000000
5	6328	5.000000
5	168	10.000000
5	949	10.000000
5	6309	10.000000
5	649	4.000000
5	6322	10.000000
5	48	9.000000
5	1018	10.000000
5	644	5.000000
7	790	8.000000
7	74	7.000000
7	823	8.000000
7	822	7.000000
7	820	7.000000
7	813	8.000000
7	793	6.000000
7	808	7.000000
7	809	7.000000
7	821	9.000000
7	806	7.000000
7	800	8.000000
7	805	6.000000
7	388	7.000000
7	811	5.000000
7	794	7.000000
7	801	7.000000
7	807	6.000000
7	791	7.000000
7	815	7.000000
7	792	7.000000
7	799	7.000000
9	276	10.000000
9	180	5.000000
9	109	5.000000
9	3052	5.000000
9	5433	10.000000
9	6372	7.000000
9	5485	10.000000
9	6368	5.000000
9	825	10.000000
9	388	8.000000
9	2399	7.000000
9	2842	4.000000
9	987	10.000000
9	984	10.000000
9	1082	4.000000
9	170	8.000000
9	351	8.000000
9	138	5.000000
9	6374	9.000000
9	765	10.000000
9	989	4.000000
9	8	5.000000
9	143	10.000000
9	982	4.000000
9	6369	3.000000
11	2041	9.000000
11	3771	8.000000
11	793	5.000000
11	1142	5.000000
11	1818	10.000000
11	716	9.000000
11	1135	10.000000
11	1132	6.000000
11	6381	7.000000
11	6378	10.000000
11	1144	6.000000
11	1139	10.000000
11	1140	7.000000
11	6379	4.000000
11	1967	9.000000
11	307	7.000000
11	6384	9.000000
11	3080	7.000000
11	526	5.000000
11	6385	7.000000
11	2464	8.000000
11	6403	9.000000
11	1141	5.000000
11	6401	10.000000
11	6390	8.000000
11	1426	9.000000
11	1134	8.000000
11	6383	7.000000
11	6393	7.000000
11	6397	8.000000
11	6377	7.000000
11	6396	8.000000
11	6388	9.000000
11	1136	10.000000
11	2768	9.000000
11	6406	7.000000
11	6407	5.000000
11	325	8.000000
11	8	1.000000
11	5701	7.000000
11	6877	7.000000
11	1143	6.000000
14	6452	10.000000
14	6451	10.000000
14	1288	8.000000
14	741	10.000000
14	9861	7.000000
14	6439	8.000000
14	5922	10.000000
14	6450	10.000000
14	1289	5.000000
14	6446	10.000000
14	3101	6.000000
14	2566	9.000000
14	1893	9.000000
14	2565	9.000000
14	2597	9.000000
14	1810	10.000000
14	1811	10.000000
14	6447	10.000000
14	6448	10.000000
14	6459	6.000000
14	6449	10.000000
14	4139	8.000000
14	1440	9.000000
14	6458	6.000000
14	1833	10.000000
14	6462	7.000000
14	1287	8.000000
14	1808	10.000000
14	1294	10.000000
14	6453	8.000000
14	6442	7.000000
14	5375	10.000000
14	6162	10.000000
14	5931	8.000000
14	6443	8.000000
14	6444	8.000000
14	6440	10.000000
14	1524	10.000000
14	6441	9.000000
14	2132	10.000000
14	1923	10.000000
14	924	9.000000
14	6143	10.000000
14	6146	10.000000
14	6138	10.000000
14	6438	10.000000
14	1645	10.000000
14	6437	10.000000
14	2067	9.000000
14	6434	10.000000
14	6435	10.000000
14	6433	10.000000
14	6445	10.000000
14	5304	8.000000
14	6432	8.000000
14	2083	10.000000
14	6431	8.000000
14	6430	9.000000
14	6429	10.000000
14	6436	10.000000
14	2172	10.000000
16	6528	8.000000
16	5714	9.000000
16	6515	10.000000
16	6509	8.000000
16	4665	10.000000
16	6519	9.000000
16	6521	10.000000
16	6540	7.000000
16	110	9.000000
16	6552	9.000000
16	6394	9.000000
16	6506	9.000000
16	1587	9.000000
16	6508	10.000000
16	6553	9.000000
16	416	5.000000
16	5787	10.000000
16	6511	8.000000
16	2801	8.000000
16	3611	9.000000
16	21	4.000000
16	6533	10.000000
16	5727	7.000000
16	1640	10.000000
16	967	10.000000
16	5969	6.000000
16	6530	9.000000
16	3424	8.000000
16	995	9.000000
16	1832	10.000000
16	6543	7.000000
16	6548	10.000000
16	6512	9.000000
16	6517	10.000000
16	6527	9.000000
16	6551	9.000000
16	6503	10.000000
16	6494	10.000000
16	1809	10.000000
16	1811	10.000000
16	6529	10.000000
16	1471	8.000000
16	6542	5.000000
16	1469	10.000000
16	4233	10.000000
16	6535	8.000000
16	6507	7.000000
16	6290	10.000000
16	3810	8.000000
16	3547	9.000000
16	81	10.000000
16	571	9.000000
16	872	10.000000
16	871	10.000000
16	1324	8.000000
16	3267	10.000000
16	6458	10.000000
16	6526	9.000000
16	6524	9.000000
16	6525	9.000000
16	5641	5.000000
16	5298	9.000000
16	5575	5.000000
16	6514	7.000000
16	6534	10.000000
16	6523	9.000000
16	1572	10.000000
16	6546	9.000000
16	3747	9.000000
16	6556	8.000000
16	6513	10.000000
16	261	10.000000
16	1705	8.000000
16	1529	8.000000
16	6559	10.000000
16	6544	5.000000
16	6433	10.000000
16	5304	10.000000
16	6432	10.000000
16	6431	10.000000
18	1601	8.000000
18	3680	9.000000
18	3803	9.000000
18	1680	9.000000
18	8649	9.000000
18	228	9.000000
18	6595	7.000000
18	855	9.000000
18	6612	6.000000
18	774	7.000000
18	6576	9.000000
18	2836	5.000000
18	6575	9.000000
18	2643	8.000000
18	1965	8.000000
18	485	8.000000
18	3448	8.000000
18	1039	7.000000
18	1681	7.000000
18	14	10.000000
18	1271	6.000000
18	6586	8.000000
18	2035	7.000000
18	15	9.000000
18	6603	8.000000
18	1268	7.000000
18	856	8.000000
18	1701	6.000000
18	1517	5.000000
18	1715	6.000000
18	385	10.000000
18	6583	9.000000
18	6592	10.000000
18	6584	8.000000
18	761	8.000000
18	6589	10.000000
18	6611	9.000000
18	6616	7.000000
18	6593	9.000000
18	6587	8.000000
18	8	6.000000
18	3977	7.000000
18	3291	7.000000
18	4085	8.000000
20	1487	8.000000
20	2507	7.000000
20	7663	9.000000
20	6644	8.000000
20	1065	7.000000
20	760	5.000000
20	840	3.000000
20	5808	9.000000
20	802	3.000000
20	6661	7.000000
20	6656	8.000000
20	1014	9.000000
20	4244	8.000000
20	1759	8.000000
20	230	8.000000
20	132	7.000000
20	6659	7.000000
20	2777	6.000000
20	1026	6.000000
20	259	9.000000
20	3946	10.000000
20	2910	10.000000
20	6654	8.000000
20	6653	8.000000
22	1851	7.000000
22	6671	5.000000
22	6669	5.000000
22	6673	9.000000
22	1289	5.000000
22	643	9.000000
22	1034	7.000000
22	220	8.000000
22	1863	8.000000
22	1853	8.000000
22	485	10.000000
22	3152	10.000000
22	1852	7.000000
22	1855	8.000000
22	1070	7.000000
22	1856	10.000000
22	6667	10.000000
22	1859	10.000000
22	1706	9.000000
22	16099	6.000000
22	1857	6.000000
22	1861	7.000000
22	6668	7.000000
22	1860	6.000000
22	2519	6.000000
22	1171	10.000000
24	6789	10.000000
24	4307	7.000000
24	4149	10.000000
24	973	10.000000
24	5469	10.000000
24	6823	8.000000
24	3046	10.000000
24	2208	10.000000
24	6812	10.000000
24	1932	10.000000
24	468	10.000000
24	6731	8.000000
24	6748	7.000000
24	2420	8.000000
24	4428	10.000000
24	833	9.000000
24	6685	8.000000
24	6739	8.000000
24	697	8.000000
24	836	10.000000
24	268	10.000000
24	6770	10.000000
24	6862	10.000000
24	5805	9.000000
24	1765	10.000000
24	1943	9.000000
24	6786	9.000000
24	388	10.000000
24	164	10.000000
24	4359	10.000000
24	6714	10.000000
24	6712	10.000000
24	6866	10.000000
24	622	9.000000
24	1715	8.000000
24	5339	9.000000
24	6844	10.000000
25	820	10.000000
25	1950	7.000000
25	1957	7.000000
25	3815	5.000000
25	1967	5.000000
25	117	7.000000
25	577	10.000000
25	1968	10.000000
25	1238	8.000000
25	5337	10.000000
25	4806	9.000000
25	6876	9.000000
25	900	9.000000
25	704	10.000000
25	1956	6.000000
25	6875	9.000000
25	1972	6.000000
25	1971	6.000000
25	6885	6.000000
25	6884	5.000000
25	76	7.000000
25	6874	9.000000
25	5177	7.000000
25	1955	7.000000
25	1963	7.000000
25	66	10.000000
25	850	7.000000
25	6844	9.000000
25	6871	5.000000
25	6873	6.000000
25	6888	8.000000
26	1910	7.000000
26	6124	8.000000
26	1457	8.000000
26	203	5.000000
26	7863	5.000000
26	2156	7.000000
26	4368	8.000000
26	1980	7.000000
26	8217	7.000000
26	5434	8.000000
26	991	3.000000
26	1981	5.000000
26	5004	7.000000
26	1203	5.000000
26	12001	6.000000
26	1292	7.000000
26	1167	8.000000
26	5	10.000000
26	1978	5.000000
26	9611	6.000000
26	64	5.000000
26	137	5.000000
26	1973	7.000000
26	6454	5.000000
29	2192	10.000000
29	2187	10.000000
29	3470	6.000000
29	6574	10.000000
29	2194	8.000000
29	1289	7.000000
29	547	9.000000
29	1290	8.000000
29	191	10.000000
29	1473	8.000000
29	2197	8.000000
29	2315	7.000000
29	2844	7.000000
29	2846	5.000000
29	2193	10.000000
29	2195	10.000000
29	754	10.000000
29	1091	10.000000
29	1093	10.000000
29	6909	7.000000
29	2204	7.000000
29	6906	7.000000
29	3886	8.000000
29	3885	8.000000
29	6902	7.000000
29	6911	10.000000
29	6907	10.000000
29	6910	9.000000
29	6912	10.000000
29	3391	10.000000
29	6904	5.000000
29	2189	7.000000
29	1808	10.000000
29	1294	10.000000
29	6913	8.000000
29	2808	10.000000
29	722	8.000000
29	1444	7.000000
29	2190	7.000000
29	2191	8.000000
31	2304	10.000000
31	1509	9.000000
31	2313	10.000000
31	276	8.000000
31	6843	9.000000
31	2483	9.000000
31	370	10.000000
31	2528	10.000000
31	633	9.000000
31	6928	10.000000
31	2299	10.000000
